time,Mkt-RF,RF
20160909,-2.47,0.001
20160912,1.44,0.001
20160913,-1.48,0.001
20160914,-0.08,0.001
20160915,1.08,0.001
20160916,-0.36,0.001
20160919,0.05,0.001
20160920,-0.02,0.001
20160921,1.12,0.001
20160922,0.7,0.001
20160923,-0.6,0.001
20160926,-0.88,0.001
20160927,0.64,0.001
20160928,0.56,0.001
20160929,-0.98,0.001
20160930,0.88,0.001
20161003,-0.26,0.001
20161004,-0.46,0.001
20161005,0.58,0.001
20161006,-0.06,0.001
20161007,-0.38,0.001
20161010,0.52,0.001
20161011,-1.3,0.001
20161012,0.06,0.001
20161013,-0.42,0.001
20161014,0.01,0.001
20161017,-0.29,0.001
20161018,0.6,0.001
20161019,0.25,0.001
20161020,-0.16,0.001
20161021,0.02,0.001
20161024,0.54,0.001
20161025,-0.46,0.001
20161026,-0.23,0.001
20161027,-0.33,0.001
20161028,-0.29,0.001
20161031,0.02,0.001
20161101,-0.68,0.001
20161102,-0.73,0.001
20161103,-0.4,0.001
20161104,-0.12,0.001
20161107,2.23,0.001
20161108,0.4,0.001
20161109,1.46,0.001
20161110,0.32,0.001
20161111,0.18,0.001
20161114,0.21,0.001
20161115,0.8,0.001
20161116,-0.12,0.001
20161117,0.56,0.001
20161118,-0.16,0.001
20161121,0.77,0.001
20161122,0.31,0.001
20161123,0.16,0.001
20161125,0.4,0.001
20161128,-0.64,0.001
20161129,0.11,0.001
20161130,-0.25,0.001
20161201,-0.36,0.001
20161202,0,0.001
20161205,0.75,0.001
20161206,0.48,0.001
20161207,1.26,0.001
20161208,0.36,0.001
20161209,0.46,0.001
20161212,-0.3,0.001
20161213,0.6,0.001
20161214,-0.82,0.001
20161215,0.46,0.001
20161216,-0.22,0.001
20161219,0.22,0.001
20161220,0.44,0.001
20161221,-0.24,0.001
20161222,-0.3,0.001
20161223,0.19,0.001
20161227,0.27,0.001
20161228,-0.87,0.001
20161229,-0.04,0.001
20161230,-0.52,0.001
20170103,0.83,0.002
20170104,0.79,0.002
20170105,-0.21,0.002
20170106,0.29,0.002
20170109,-0.37,0.002
20170110,0.16,0.002
20170111,0.31,0.002
20170112,-0.3,0.002
20170113,0.29,0.002
20170117,-0.49,0.002
20170118,0.24,0.002
20170119,-0.38,0.002
20170120,0.33,0.002
20170123,-0.29,0.002
20170124,0.83,0.002
20170125,0.84,0.002
20170126,-0.1,0.002
20170127,-0.12,0.002
20170130,-0.68,0.002
20170131,0,0.002
20170201,0.03,0.002
20170202,-0.02,0.002
20170203,0.82,0.002
20170206,-0.27,0.002
20170207,-0.01,0.002
20170208,0.06,0.002
20170209,0.72,0.002
20170210,0.38,0.002
20170213,0.49,0.002
20170214,0.45,0.002
20170215,0.54,0.002
20170216,-0.16,0.002
20170217,0.2,0.002
20170221,0.6,0.002
20170222,-0.15,0.002
20170223,-0.11,0.002
20170224,0.15,0.002
20170227,0.22,0.002
20170228,-0.42,0.002
20170301,1.47,0.001
20170302,-0.7,0.001
20170303,0.09,0.001
20170306,-0.38,0.001
20170307,-0.36,0.001
20170308,-0.19,0.001
20170309,0.04,0.001
20170310,0.34,0.001
20170313,0.13,0.001
20170314,-0.36,0.001
20170315,0.86,0.001
20170316,-0.06,0.001
20170317,-0.08,0.001
20170320,-0.25,0.001
20170321,-1.48,0.001
20170322,0.16,0.001
20170323,-0.03,0.001
20170324,-0.05,0.001
20170327,-0.05,0.001
20170328,0.72,0.001
20170329,0.18,0.001
20170330,0.36,0.001
20170331,-0.16,0.001
20170403,-0.28,0.003
20170404,0.05,0.003
20170405,-0.44,0.003
20170406,0.32,0.003
20170407,-0.08,0.003
20170410,0.08,0.003
20170411,-0.05,0.003
20170412,-0.49,0.003
20170413,-0.75,0.003
20170417,0.89,0.003
20170418,-0.25,0.003
20170419,-0.08,0.003
20170420,0.83,0.003
20170421,-0.28,0.003
20170424,1.18,0.003
20170425,0.65,0.003
20170426,0.04,0.003
20170427,0.05,0.003
20170428,-0.3,0.003
20170501,0.21,0.003
20170502,0.03,0.003
20170503,-0.19,0.003
20170504,0.02,0.003
20170505,0.46,0.003
20170508,-0.04,0.003
20170509,-0.05,0.003
20170510,0.2,0.003
20170511,-0.26,0.003
20170512,-0.18,0.003
20170515,0.53,0.003
20170516,-0.03,0.003
20170517,-1.97,0.003
20170518,0.4,0.003
20170519,0.7,0.003
20170522,0.56,0.003
20170523,0.18,0.003
20170524,0.24,0.003
20170525,0.42,0.003
20170526,0.06,0.003
20170530,-0.19,0.003
20170531,-0.02,0.003
20170601,0.95,0.003
20170602,0.35,0.003
20170605,-0.17,0.003
20170606,-0.28,0.003
20170607,0.15,0.003
20170608,0.18,0.003
20170609,-0.12,0.003
20170612,-0.11,0.003
20170613,0.55,0.003
20170614,-0.17,0.003
20170615,-0.3,0.003
20170616,-0.03,0.003
20170619,0.86,0.003
20170620,-0.73,0.003
